movie_title,title_year,duration,color,num_critic_for_reviews,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,gross,num_voted_users,cast_total_facebook_likes,facenumber_in_poster,num_user_for_reviews,language,country,content_rating,budget,imdb_score,aspect_ratio,g1,g2,g3,g4,g5,g6,g7,g8,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14,n15,n16,n17,n18,n19,n20,n21,n22,n23,n24,n25,n26
Avatar ,2009,178,Color,723,0,1000,936,855,760505847,886204,4834,0,3054,English,USA,PG-13,237000000,7.9,1.78,Action,Adventure,Fantasy,Sci-Fi,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pirates of the Caribbean: At World's End ,2007,169,Color,302,563,40000,5000,1000,309404152,471220,48350,0,1238,English,USA,PG-13,300000000,7.1,2.35,Action,Adventure,Fantasy,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre ,2015,148,Color,602,0,11000,393,161,200074175,275868,11700,1,994,English,UK,PG-13,245000000,6.8,2.35,Action,Adventure,Thriller,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Dark Knight Rises ,2012,164,Color,813,22000,27000,23000,23000,448130642,1144337,106759,0,2701,English,USA,PG-13,250000000,8.5,2.35,Action,Thriller,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Star Wars: Episode VII - The Force Awakens             ,,,,,131,131,12,,,8,143,0,,,,,,7.1,,Documentary,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Carter ,2012,132,Color,462,475,640,632,530,73058679,212204,1873,1,738,English,USA,PG-13,263700000,6.6,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 3 ,2007,156,Color,392,0,24000,11000,4000,336530303,383056,46055,0,1902,English,USA,PG-13,258000000,6.2,2.35,Action,Adventure,Romance,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tangled ,2010,100,Color,324,15,799,553,284,200807262,294810,2036,1,387,English,USA,PG,260000000,7.8,1.85,Adventure,Animation,Comedy,Family,Fantasy,Musical,Romance,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avengers: Age of Ultron ,2015,141,Color,635,0,26000,21000,19000,458991599,462669,92000,4,1117,English,USA,PG-13,250000000,7.5,2.35,Action,Adventure,Sci-Fi,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince ,2009,153,Color,375,282,25000,11000,10000,301956980,321795,58753,3,973,English,UK,PG,250000000,7.5,2.35,Adventure,Family,Fantasy,Mystery,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
